no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
775,TTdMSkxZWkd0Z0E,08 Ags 2015,Marga Ujan Mas,Sumatera Selatan,MUARA ENIM,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TTdMSkxZWkd0Z0E
776,Vk4xc1VfeUFXRTA,12 Apr 2012,Kampung Puluh Sibaji Pantai Labu,Sumatera Utara,DELI SERDANG,Pantai Labu,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/Vk4xc1VfeUFXRTA
777,QlZlVHNmX0o2bms,08 Ags 2015,Kampong Pantai Labu Pekan,Sumatera Utara,DELI SERDANG,Pantai Labu,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/QlZlVHNmX0o2bms
778,MHBPeTdFT1ZReTQ,08 Ags 2015,Kampong Denai Kwala,Sumatera Utara,SERDANG BEDAGAI,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/MHBPeTdFT1ZReTQ
779,aHpMQ0xhSVRLWE0,08 Ags 2015,Kampong Beringin,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/aHpMQ0xhSVRLWE0
780,SkZwZy1DVm9MYmc,08 Ags 2015,Kampong Bandar Klippa,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/SkZwZy1DVm9MYmc
781,c0RwZ2dSOW8zbnM,15 Jan 2013,Kampong Bandar Setia,Sumatera Utara,DELI SERDANG,Percut Sei Tuan,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/c0RwZ2dSOW8zbnM
782,Si1SS0hKbHNNLW8,08 Ags 2015,Kampung Bandar Khalifah,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/Si1SS0hKbHNNLW8
783,Ymg5cEo1akc0cE0,08 Ags 2015,Kampong Kramat Tualang Pusu,Sumatera Utara,DELI SERDANG,Percut Sei Tuan,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/Ymg5cEo1akc0cE0
784,SXBzb1hYYVRoMHc,08 Ags 2015,Kampong Penara,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/SXBzb1hYYVRoMHc
785,NG5JYnJWcmlMZ3c,22 Apr 2012,Kampong Dalu 10,Sumatera Utara,DELI SERDANG,Tanjung Morowa,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/NG5JYnJWcmlMZ3c
